# famille|méthode|ingrédients clés : listes éditoriales, sans permutations automatiques.
lean|papillote|poulet,brocoli,poivron
lean|vapeur|poulet,chou_fleur,radis
lean|etuve|poulet,courge,champignon
lean|papillote|poulet,aubergine,fenouil
lean|vapeur|poulet,haricot_vert,cresson
lean|etuve|poulet,blette,courgette
lean|papillote|poulet,chou_rouge,endive
lean|vapeur|poulet,asperge,chou
lean|etuve|poulet,epinard,poivron
lean|papillote|poulet,chou_fleur,courge
lean|vapeur|dinde,brocoli,champignon
lean|papillote|dinde,poivron,blette
lean|etuve|dinde,aubergine,chou
lean|vapeur|dinde,haricot_vert,radis
lean|papillote|dinde,courge,endive
lean|etuve|dinde,chou_fleur,courgette
lean|vapeur|dinde,asperge,cresson
lean|papillote|dinde,fenouil,laitue
lean|etuve|dinde,chou_rouge,champignon
lean|papillote|dinde,brocoli,aubergine
lean|papillote|cabillaud,poivron,champignon
lean|vapeur|cabillaud,courgette,radis
lean|papillote|cabillaud,asperge,blette
lean|vapeur|cabillaud,chou_rouge,epinard
lean|papillote|cabillaud,aubergine,courge
lean|vapeur|cabillaud,fenouil,cresson
lean|papillote|cabillaud,chou_fleur,endive
lean|vapeur|cabillaud,brocoli,haricot_vert
lean|papillote|truite,poivron,epinard
lean|vapeur|truite,courge,radis
lean|papillote|truite,fenouil,blette
lean|vapeur|truite,chou_fleur,cresson
lean|papillote|truite,chou_rouge,courgette
lean|vapeur|truite,haricot_vert,endive
lean|papillote|saumon,poivron,blette
lean|vapeur|saumon,champignon,haricot_vert
lean|papillote|saumon,aubergine,endive
lean|vapeur|saumon,chou_fleur,laitue
lean|papillote|saumon,courge,brocoli
lean|vapeur|saumon,asperge,radis
lean|papillote|sardine,brocoli,champignon
lean|vapeur|sardine,chou_fleur,blette
lean|papillote|sardine,aubergine,epinard
lean|vapeur|sardine,courge,chou
lean|papillote|sardine,endive,radis
lean|papillote|maquereau,fenouil,chou_fleur
lean|vapeur|maquereau,poivron,haricot_vert
lean|papillote|maquereau,courge,blette
lean|vapeur|maquereau,asperge,champignon
lean|papillote|maquereau,chou_rouge,brocoli
lean|vapeur|poulet,fenouil,epinard
lean|papillote|dinde,haricot_vert,laitue
lean|vapeur|truite,chou,poivron
lean|papillote|saumon,chou_rouge,cresson
lean|vapeur|sardine,asperge,epinard
lean|papillote|maquereau,endive,courgette
lean|vapeur|cabillaud,champignon,chou
lean|papillote|poulet,blette,radis
lean|vapeur|dinde,chou,courge
lean|papillote|truite,brocoli,endive
potato|galette|pomme_terre,panais,epinard
potato|rosace|pomme_terre,fenouil,betterave
potato|gratin|pomme_terre,chou_fleur,blette
potato|farci|pomme_terre,aubergine,poivron
potato|quartiers|pomme_terre,rutabaga,chou
potato|galette|pomme_terre,carotte,cresson
potato|rosace|pomme_terre,navet,courgette
potato|gratin|pomme_terre,choux_bruxelles,champignon
potato|farci|pomme_terre,petits_pois,epinard
potato|quartiers|pomme_terre,celeri_rave,poivron
potato|galette|pomme_terre,betterave,ciboulette
potato|rosace|pomme_terre,courge,endive
potato|gratin|pomme_terre,brocoli,carotte
potato|farci|pomme_terre,fenouil,chou_rouge
potato|quartiers|pomme_terre,artichaut,champignon
potato|galette|pomme_terre,celeri_rave,persil
potato|rosace|pomme_terre,panais,poivron
potato|gratin|pomme_terre,haricot_vert,courgette
potato|farci|pomme_terre,chou_fleur,epinard
potato|quartiers|pomme_terre,navet,asperge
potato|galette|pomme_terre,rutabaga,ciboulette
potato|rosace|pomme_terre,carotte,fenouil
potato|gratin|pomme_terre,courge,chou_rouge
potato|farci|pomme_terre,champignon,blette
potato|quartiers|pomme_terre,betterave,choux_bruxelles
potato|galette|pomme_terre,courgette,basilic
potato|rosace|pomme_terre,celeri_rave,navet
potato|gratin|pomme_terre,artichaut,poivron
potato|farci|pomme_terre,brocoli,petits_pois
potato|quartiers|pomme_terre,panais,endive
potato|galette|pomme_terre,carotte,persil
potato|rosace|pomme_terre,betterave,courge
potato|gratin|pomme_terre,fenouil,haricot_vert
potato|farci|pomme_terre,aubergine,cresson
potato|quartiers|pomme_terre,rutabaga,brocoli
potato|galette|pomme_terre,panais,ciboulette
potato|gratin|pomme_terre,navet,chou_fleur
potato|farci|pomme_terre,chou,champignon
potato|quartiers|pomme_terre,carotte,artichaut
potato|rosace|pomme_terre,celeri_rave,courgette
potato|gratin|pomme_terre,blette,petits_pois
potato|farci|pomme_terre,poivron,epinard
nut|roti|amande,carotte,chou_fleur
nut|vapeur|amande,brocoli,blette
nut|cru|amande,concombre,fenouil
nut|roti|amande,courge,choux_bruxelles
nut|vapeur|amande,artichaut,petits_pois
nut|cru|amande,chou_rouge,carotte
nut|roti|amande,aubergine,navet
nut|vapeur|amande,asperge,endive
nut|roti|noisette,panais,chou_fleur
nut|vapeur|noisette,haricot_vert,courgette
nut|cru|noisette,betterave,fenouil
nut|roti|noisette,celeri_rave,poivron
nut|vapeur|noisette,brocoli,epinard
nut|cru|noisette,laitue,radis
nut|roti|noisette,rutabaga,champignon
nut|vapeur|noisette,artichaut,blette
nut|roti|noix,carotte,endive
nut|vapeur|noix,choux_bruxelles,courgette
